doc_id,fuente,resultado_esperado,control_esperado,run2_route,run3_replay_route,formal_scope,formal_route_correct,duplicate_signal,review_reasons
GD-073,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-074,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-075,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-076,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-077,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-078,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-079,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-080,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-081,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-082,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-083,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-084,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-085,publica,en_lote,,revision_humana,revision_humana,si,no,no,campos críticos ausentes: proveedor | campos criticos ausentes: proveedor_nombre_comercial
GD-086,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-101,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-102,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-103,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-104,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-105,sintetica,en_lote,,revision_humana,revision_humana,si,no,si,posible factura duplicada
GD-106,sintetica,bloqueada,C2_DUPLICADOS,revision_humana,revision_humana,no,no_aplica,si,posible factura duplicada
GD-107,sintetica,bloqueada,C2_DUPLICADOS,en_lote,revision_humana,no,no_aplica,si,posible factura duplicada
GD-108,sintetica,bloqueada,C2_DUPLICADOS,revision_humana,revision_humana,no,no_aplica,si,posible factura duplicada
GD-109,sintetica,bloqueada,C6_DATOS_BANCARIOS,en_lote,en_lote,no,no_aplica,no,
GD-110,sintetica,bloqueada,C6_DATOS_BANCARIOS,en_lote,en_lote,no,no_aplica,no,
GD-111,sintetica,bloqueada,C3_AUTORIZACION_OC,en_lote,en_lote,no,no_aplica,no,
GD-112,sintetica,bloqueada,C3_AUTORIZACION_OC,en_lote,en_lote,no,no_aplica,no,
GD-113,sintetica,bloqueada,C5_MATCH,en_lote,en_lote,no,no_aplica,no,
GD-114,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-115,sintetica,revision_humana,C9_VENDOR_MASTER,revision_humana,revision_humana,si,si,no,el proveedor extraido coincide con la empresa propia: posible confusion emisor/receptor
GD-116,sintetica,anticipo,C8_ANTICIPO_SIN_FACTURA_FINAL,revision_humana,revision_humana,no,no_aplica,no,proforma / anticipo: requiere autorización humana para pago
GD-117,sintetica,conciliacion,,en_lote,en_lote,no,no_aplica,no,
GD-118,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-119,sintetica,revision_humana,,en_lote,revision_humana,si,si,no,"importe no positivo: posible nota de crédito, requiere confirmación humana del tipo documental"
GD-120,sintetica,revision_humana,C1_COMPLETITUD,revision_humana,revision_humana,si,si,no,proforma / anticipo: requiere autorización humana para pago
GD-121,sintetica,en_lote,,en_lote,en_lote,si,si,no,
GD-122,sintetica,en_lote,,en_lote,en_lote,si,si,no,
