doc_id,fuente,campo,esperado,extraido,veredicto,confianza,estado,resultado_esperado,caso_borde,control_esperado
GD-003,real,tipo_doc,invoice,invoice,correcto,0.87,Procesado,en_lote,no,
GD-003,real,proveedor,SASU OPEN-ENDS INSIGHT,SASU OPEN-ENDS INSIGHT,correcto,0.87,Procesado,en_lote,no,
GD-003,real,nif,ESB85902583,**********621,incorrecto,0.87,Procesado,en_lote,no,
GD-003,real,numero,178,178,correcto,0.87,Procesado,en_lote,no,
GD-003,real,fecha_emision,2026-05-05,2026-05-05,correcto,0.87,Procesado,en_lote,no,
GD-003,real,fecha_vencimiento,,,correcto,0.87,Procesado,en_lote,no,
GD-003,real,moneda,EUR,EUR,correcto,0.87,Procesado,en_lote,no,
GD-003,real,importe_total,4200.0,4200.0,correcto,0.87,Procesado,en_lote,no,
GD-003,real,iva,0.0,0.0,correcto,0.87,Procesado,en_lote,no,
GD-003,real,oc,178,,faltante,0.87,Procesado,en_lote,no,
GD-004,real,tipo_doc,invoice,proforma_or_advance_request,incorrecto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,proveedor,GESMAR GESTION MARKETING,GESMAR GESTION Y MARKETING,incorrecto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,nif,,******583,sin_ground_truth,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,numero,,,correcto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,fecha_emision,2026-05-04,2026-05-04,correcto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,fecha_vencimiento,,,correcto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,moneda,EUR,EUR,correcto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,importe_total,1320.0,1320.0,correcto,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,iva,0.0,,faltante,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-004,real,oc,BMC07/2026,,faltante,1.0,Revisar campos,revision_humana,si,C8_ANTICIPO_SIN_FACTURA_FINAL
GD-005,real,tipo_doc,invoice,invoice,correcto,0.87,Procesado,en_lote,no,
GD-005,real,proveedor,ECOTISA,ECOTISA UNA TINTA DE IMPRESION,correcto,0.87,Procesado,en_lote,no,
GD-005,real,nif,,******448,sin_ground_truth,0.87,Procesado,en_lote,no,
GD-005,real,numero,FV/2026/05/000945,FV/2026/05/000945,correcto,0.87,Procesado,en_lote,no,
GD-005,real,fecha_emision,2026-05-05,2026-05-05,correcto,0.87,Procesado,en_lote,no,
GD-005,real,fecha_vencimiento,,2026-05-05,alucinado,0.87,Procesado,en_lote,no,
GD-005,real,moneda,EUR,EUR,correcto,0.87,Procesado,en_lote,no,
GD-005,real,importe_total,44.38,44.38,correcto,0.87,Procesado,en_lote,no,
GD-005,real,iva,7.7,7.7,correcto,0.87,Procesado,en_lote,no,
GD-005,real,oc,,PV892828,alucinado,0.87,Procesado,en_lote,no,
GD-006,real,tipo_doc,invoice,invoice,correcto,0.94,Procesado,en_lote,no,
GD-006,real,proveedor,REDCOM SOLUCIONES INFORMATICAS,REDECOM SOLUCIONES INFORMATICAS PARA EMPRESAS,incorrecto,0.94,Procesado,en_lote,no,
GD-006,real,nif,B84997428,******428,correcto_enmascarado,0.94,Procesado,en_lote,no,
GD-006,real,numero,F056,F056,correcto,0.94,Procesado,en_lote,no,
GD-006,real,fecha_emision,2026-05-06,2026-05-06,correcto,0.94,Procesado,en_lote,no,
GD-006,real,fecha_vencimiento,,,correcto,0.94,Procesado,en_lote,no,
GD-006,real,moneda,EUR,EUR,correcto,0.94,Procesado,en_lote,no,
GD-006,real,importe_total,142.88,142.88,correcto,0.94,Procesado,en_lote,no,
GD-006,real,iva,24.8,24.8,correcto,0.94,Procesado,en_lote,no,
GD-006,real,oc,,,correcto,0.94,Procesado,en_lote,no,
GD-007,real,tipo_doc,invoice,invoice,correcto,0.94,Procesado,en_lote,no,
GD-007,real,proveedor,REDCOM SOLUCIONES INFORMATICAS,REDECOM SOLUCIONES INFORMATICAS PARA EMPRESAS,incorrecto,0.94,Procesado,en_lote,no,
GD-007,real,nif,B84997428,******428,correcto_enmascarado,0.94,Procesado,en_lote,no,
GD-007,real,numero,F057,F057,correcto,0.94,Procesado,en_lote,no,
GD-007,real,fecha_emision,2026-05-06,2026-05-06,correcto,0.94,Procesado,en_lote,no,
GD-007,real,fecha_vencimiento,,,correcto,0.94,Procesado,en_lote,no,
GD-007,real,moneda,EUR,EUR,correcto,0.94,Procesado,en_lote,no,
GD-007,real,importe_total,1472.74,1472.74,correcto,0.94,Procesado,en_lote,no,
GD-007,real,iva,255.6,255.6,correcto,0.94,Procesado,en_lote,no,
GD-007,real,oc,,,correcto,0.94,Procesado,en_lote,no,
GD-008,real,tipo_doc,invoice,invoice,correcto,0.94,Procesado,en_lote,no,
GD-008,real,proveedor,REDCOM SOLUCIONES INFORMATICAS,REDECOM SOLUCIONES INFORMATICAS PARA EMPRESAS,incorrecto,0.94,Procesado,en_lote,no,
GD-008,real,nif,B84997428,******428,correcto_enmascarado,0.94,Procesado,en_lote,no,
GD-008,real,numero,F055,F055,correcto,0.94,Procesado,en_lote,no,
GD-008,real,fecha_emision,2026-05-06,2026-05-06,correcto,0.94,Procesado,en_lote,no,
GD-008,real,fecha_vencimiento,,,correcto,0.94,Procesado,en_lote,no,
GD-008,real,moneda,EUR,EUR,correcto,0.94,Procesado,en_lote,no,
GD-008,real,importe_total,195.97,195.97,correcto,0.94,Procesado,en_lote,no,
GD-008,real,iva,34.01,34.01,correcto,0.94,Procesado,en_lote,no,
GD-008,real,oc,,,correcto,0.94,Procesado,en_lote,no,
GD-011,publica,tipo_doc,invoice,invoice,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,proveedor,BRADLEY-ANDRADE,BRADLEY-ANDRADE,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,nif,985-73-8194,******194,correcto_enmascarado,0.82,Revisar campos,en_lote,no,
GD-011,publica,numero,97159829,97159829,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,fecha_emision,2015-09-18,2015-09-18,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,fecha_vencimiento,,,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,moneda,USD,USD,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,importe_total,978.12,978.12,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,iva,88.92,88.92,correcto,0.82,Revisar campos,en_lote,no,
GD-011,publica,oc,,,correcto,0.82,Revisar campos,en_lote,no,
GD-012,publica,tipo_doc,invoice,invoice,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,proveedor,HOPKINS AND SONS,HOPKINS & SONS,incorrecto,0.81,Revisar campos,en_lote,no,
GD-012,publica,nif,952-73-7223,******223,correcto_enmascarado,0.81,Revisar campos,en_lote,no,
GD-012,publica,numero,13194726,13194726,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,fecha_emision,2021-05-29,2021-05-29,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,fecha_vencimiento,,,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,moneda,USD,USD,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,importe_total,640.12,640.12,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,iva,58.19,58.19,correcto,0.81,Revisar campos,en_lote,no,
GD-012,publica,oc,,,correcto,0.81,Revisar campos,en_lote,no,
GD-013,publica,tipo_doc,invoice,invoice,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,proveedor,TRUJILLO-HUNT,TRUJILLO-HUNT,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,nif,992-71-8540,******540,correcto_enmascarado,0.83,Revisar campos,en_lote,no,
GD-013,publica,numero,62517865,62517865,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,fecha_emision,2015-06-02,2015-06-02,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,fecha_vencimiento,,,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,moneda,USD,USD,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,importe_total,9.35,9.35,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,iva,0.85,0.85,correcto,0.83,Revisar campos,en_lote,no,
GD-013,publica,oc,,,correcto,0.83,Revisar campos,en_lote,no,
GD-014,publica,tipo_doc,invoice,invoice,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,proveedor,NICHOLS-BARAJAS,NICHOLS-BARAJAS,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,nif,953-87-6813,******813,correcto_enmascarado,0.84,Revisar campos,en_lote,no,
GD-014,publica,numero,56014042,56014042,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,fecha_emision,2014-10-01,2014-10-01,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,fecha_vencimiento,,,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,moneda,USD,USD,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,importe_total,65.45,65.45,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,iva,5.95,5.95,correcto,0.84,Revisar campos,en_lote,no,
GD-014,publica,oc,,,correcto,0.84,Revisar campos,en_lote,no,
GD-015,publica,tipo_doc,invoice,invoice,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,proveedor,SMITH-COOK,SMITH-COOK,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,nif,959-84-2124,******124,correcto_enmascarado,0.78,Revisar campos,en_lote,no,
GD-015,publica,numero,16662010,16662010,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,fecha_emision,2016-08-28,2016-08-28,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,fecha_vencimiento,,,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,moneda,USD,USD,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,importe_total,2259.1,2259.1,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,iva,205.37,205.37,correcto,0.78,Revisar campos,en_lote,no,
GD-015,publica,oc,,,correcto,0.78,Revisar campos,en_lote,no,
GD-016,publica,tipo_doc,invoice,invoice,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,proveedor,KAISER HAYS AND COOK,KAISER,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,nif,980-78-9083,******083,correcto_enmascarado,0.84,Revisar campos,en_lote,no,
GD-016,publica,numero,27543706,27543706,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,fecha_emision,2020-07-20,2020-07-20,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,fecha_vencimiento,,,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,moneda,USD,USD,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,importe_total,48801.1,48801.1,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,iva,4436.46,4436.46,correcto,0.84,Revisar campos,en_lote,no,
GD-016,publica,oc,,,correcto,0.84,Revisar campos,en_lote,no,
GD-017,publica,tipo_doc,invoice,invoice,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,proveedor,SMITH,SMITH,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,nif,916-97-6743,******743,correcto_enmascarado,0.83,Revisar campos,en_lote,no,
GD-017,publica,numero,26343874,26343874,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,fecha_emision,2013-07-17,2013-07-17,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,fecha_vencimiento,,,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,moneda,USD,USD,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,importe_total,3490.29,3490.29,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,iva,317.3,317.3,correcto,0.83,Revisar campos,en_lote,no,
GD-017,publica,oc,,,correcto,0.83,Revisar campos,en_lote,no,
GD-018,publica,tipo_doc,invoice,invoice,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,proveedor,GREGORY PATTERSON AND FISCHER,GREGORY PATTERSON AND FISCHER,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,nif,958-94-6606,******606,correcto_enmascarado,0.77,Revisar campos,en_lote,no,
GD-018,publica,numero,12222347,12222347,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,fecha_emision,2017-03-18,2017-03-18,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,fecha_vencimiento,,,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,moneda,USD,AUD,incorrecto,0.77,Revisar campos,en_lote,no,
GD-018,publica,importe_total,136.13,136.13,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,iva,12.38,12.38,correcto,0.77,Revisar campos,en_lote,no,
GD-018,publica,oc,,,correcto,0.77,Revisar campos,en_lote,no,
GD-019,publica,tipo_doc,invoice,invoice,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,proveedor,GORDON ALVARADO AND JONES,GORDON ALVARADO AND JONES,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,nif,936-79-2794,******794,correcto_enmascarado,0.78,Revisar campos,en_lote,no,
GD-019,publica,numero,25698672,25698672,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,fecha_emision,2015-08-01,2015-01-08,incorrecto,0.78,Revisar campos,en_lote,no,
GD-019,publica,fecha_vencimiento,,,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,moneda,USD,USD,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,importe_total,127.0,127.0,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,iva,11.55,11.55,correcto,0.78,Revisar campos,en_lote,no,
GD-019,publica,oc,,,correcto,0.78,Revisar campos,en_lote,no,
GD-020,publica,tipo_doc,invoice,invoice,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,proveedor,RODRIGUEZ-JACKSON,RODRIGUEZ-JACKSON,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,nif,983-85-8151,******151,correcto_enmascarado,0.83,Revisar campos,en_lote,no,
GD-020,publica,numero,24048799,24048799,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,fecha_emision,2014-05-21,2014-05-21,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,fecha_vencimiento,,,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,moneda,USD,USD,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,importe_total,5.45,5.45,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,iva,0.5,0.5,correcto,0.83,Revisar campos,en_lote,no,
GD-020,publica,oc,,,correcto,0.83,Revisar campos,en_lote,no,
GD-021,publica,tipo_doc,invoice,invoice,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,proveedor,POTTS REED AND MILLER USCGC WEEKS FPO AA,POTTS REED AND MILLER,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,nif,913-82-5781,******781,correcto_enmascarado,0.78,Revisar campos,en_lote,no,
GD-021,publica,numero,72455228,72455228,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,fecha_emision,2021-05-11,2021-05-11,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,fecha_vencimiento,,,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,moneda,USD,USD,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,importe_total,2155.98,2155.98,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,iva,196.0,196.0,correcto,0.78,Revisar campos,en_lote,no,
GD-021,publica,oc,,,correcto,0.78,Revisar campos,en_lote,no,
GD-022,publica,tipo_doc,invoice,invoice,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,proveedor,CONLEY,CONLEY,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,nif,919-79-8417,******417,correcto_enmascarado,0.85,Revisar campos,en_lote,no,
GD-022,publica,numero,58478169,58478169,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,fecha_emision,2016-07-04,2016-07-04,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,fecha_vencimiento,,,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,moneda,USD,USD,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,importe_total,12261.98,12261.98,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,iva,1114.73,1114.73,correcto,0.85,Revisar campos,en_lote,no,
GD-022,publica,oc,,,correcto,0.85,Revisar campos,en_lote,no,
GD-023,publica,tipo_doc,invoice,invoice,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,proveedor,STONE-WALLER,STONE-WALLER,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,nif,994-99-6683,******683,correcto_enmascarado,0.77,Revisar campos,en_lote,no,
GD-023,publica,numero,90508672,90508672,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,fecha_emision,2020-04-16,2020-04-16,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,fecha_vencimiento,,,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,moneda,USD,USD,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,importe_total,7052.49,7052.49,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,iva,641.14,641.14,correcto,0.77,Revisar campos,en_lote,no,
GD-023,publica,oc,,,correcto,0.77,Revisar campos,en_lote,no,
GD-024,publica,tipo_doc,invoice,invoice,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,proveedor,JACKSON,JACKSON,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,nif,914-85-0938,******938,correcto_enmascarado,0.81,Revisar campos,en_lote,no,
GD-024,publica,numero,96051364,96051364,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,fecha_emision,2020-04-28,2020-04-28,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,fecha_vencimiento,,,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,moneda,USD,USD,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,importe_total,1579929.37,157929.37,incorrecto,0.81,Revisar campos,en_lote,no,
GD-024,publica,iva,14357.22,14357.22,correcto,0.81,Revisar campos,en_lote,no,
GD-024,publica,oc,,,correcto,0.81,Revisar campos,en_lote,no,
GD-025,publica,tipo_doc,invoice,invoice,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,proveedor,PIERCE,PIERCE,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,nif,959-99-4796,******796,correcto_enmascarado,0.83,Revisar campos,en_lote,no,
GD-025,publica,numero,67856369,67856369,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,fecha_emision,2020-05-27,2020-05-27,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,fecha_vencimiento,,,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,moneda,USD,USD,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,importe_total,4952.82,4952.82,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,iva,450.26,450.26,correcto,0.83,Revisar campos,en_lote,no,
GD-025,publica,oc,,,correcto,0.83,Revisar campos,en_lote,no,
GD-026,publica,tipo_doc,invoice,invoice,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,proveedor,SPENCE-CASTRO,SPENCE-CASTRO,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,nif,965-84-3671,******671,correcto_enmascarado,0.84,Revisar campos,en_lote,no,
GD-026,publica,numero,69934544,69934544,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,fecha_emision,2014-04-17,2014-04-17,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,fecha_vencimiento,,,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,moneda,USD,USD,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,importe_total,43.96,43.96,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,iva,4.0,4.0,correcto,0.84,Revisar campos,en_lote,no,
GD-026,publica,oc,,,correcto,0.84,Revisar campos,en_lote,no,
GD-027,publica,tipo_doc,invoice,invoice,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,proveedor,WHITAKER,WHITAKER,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,nif,931-73-0965,******965,correcto_enmascarado,0.79,Revisar campos,en_lote,no,
GD-027,publica,numero,23152691,23152691,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,fecha_emision,2015-08-01,2015-08-01,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,fecha_vencimiento,,,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,moneda,USD,USD,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,importe_total,4783.7,4783.7,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,iva,434.88,434.88,correcto,0.79,Revisar campos,en_lote,no,
GD-027,publica,oc,,,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,tipo_doc,invoice,invoice,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,proveedor,HERNANDEZ COLEMAN AND ALVARADO,HERNANDEZ COLEMAN AND ALVARADO,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,nif,988-79-4495,******495,correcto_enmascarado,0.79,Revisar campos,en_lote,no,
GD-028,publica,numero,14878236,14878236,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,fecha_emision,2015-04-26,2015-04-26,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,fecha_vencimiento,,,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,moneda,USD,USD,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,importe_total,568.49,568.49,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,iva,51.68,51.68,correcto,0.79,Revisar campos,en_lote,no,
GD-028,publica,oc,,,correcto,0.79,Revisar campos,en_lote,no,
GD-029,publica,tipo_doc,invoice,invoice,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,proveedor,BYRD,BYRD,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,nif,991-72-8541,******541,correcto_enmascarado,0.84,Revisar campos,en_lote,no,
GD-029,publica,numero,84777898,84777898,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,fecha_emision,2017-06-02,2017-06-02,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,fecha_vencimiento,,,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,moneda,USD,USD,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,importe_total,314.62,314.62,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,iva,28.6,28.6,correcto,0.84,Revisar campos,en_lote,no,
GD-029,publica,oc,,,correcto,0.84,Revisar campos,en_lote,no,
GD-030,publica,tipo_doc,invoice,invoice,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,proveedor,ESTRADA AND SONS,ESTRADA AND SONS,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,nif,926-74-0874,******874,correcto_enmascarado,0.79,Revisar campos,en_lote,no,
GD-030,publica,numero,57338979,57338979,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,fecha_emision,2021-05-10,2021-05-10,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,fecha_vencimiento,,,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,moneda,USD,USD,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,importe_total,15089.59,15089.59,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,iva,1371.78,1371.78,correcto,0.79,Revisar campos,en_lote,no,
GD-030,publica,oc,,,correcto,0.79,Revisar campos,en_lote,no,
GD-031,publica,tipo_doc,invoice,invoice,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,proveedor,NELSON BIRD AND MENDOZA,NELSON BIRD AND MENDOZA,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,nif,976-76-5964,******964,correcto_enmascarado,0.77,Revisar campos,en_lote,no,
GD-031,publica,numero,54394190,54394190,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,fecha_emision,2021-02-23,2021-02-23,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,fecha_vencimiento,,,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,moneda,USD,USD,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,importe_total,3695.93,3695.93,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,iva,335.99,335.99,correcto,0.77,Revisar campos,en_lote,no,
GD-031,publica,oc,,,correcto,0.77,Revisar campos,en_lote,no,
GD-032,publica,tipo_doc,invoice,invoice,correcto,0.8,Revisar campos,en_lote,no,
GD-032,publica,proveedor,HAYES-MCDONALD,HAYS-MCDONALD FARM,incorrecto,0.8,Revisar campos,en_lote,no,
GD-032,publica,nif,906-99-8086,******086,correcto_enmascarado,0.8,Revisar campos,en_lote,no,
GD-032,publica,numero,77404624,77404624,correcto,0.8,Revisar campos,en_lote,no,
GD-032,publica,fecha_emision,2014-10-20,2014-10-20,correcto,0.8,Revisar campos,en_lote,no,
GD-032,publica,fecha_vencimiento,,,correcto,0.8,Revisar campos,en_lote,no,
GD-032,publica,moneda,USD,USD,correcto,0.8,Revisar campos,en_lote,no,
